Year,Month,Date,Bid Yield
2001,1,1/1/2001,1.76
2001,2,2/1/2001,1.76
2001,3,3/1/2001,2.1
2001,4,4/1/2001,2.14
2001,5,5/1/2001,2.16
2001,6,6/1/2001,2.14
2001,7,7/1/2001,2.15
2001,8,8/1/2001,2.11
2001,9,9/1/2001,1.68
2001,10,10/1/2001,0.66
2001,11,11/1/2001,1.16
2001,12,12/1/2001,1.15
2002,1,1/1/2002,0.98
2002,2,2/1/2002,0.93
2002,3,3/1/2002,0.96
2002,4,4/1/2002,0.99
2002,5,5/1/2002,0.97
2002,6,6/1/2002,0.94
2002,7,7/1/2002,0.8
2002,8,8/1/2002,0.86
2002,9,9/1/2002,1.2
2002,10,10/1/2002,0.95
2002,11,11/1/2002,0.8
2002,12,12/1/2002,0.79
2003,1,1/1/2003,0.72
2003,2,2/1/2003,0.68
2003,3,3/1/2003,0.7
2003,4,4/1/2003,0.64
2003,5,5/1/2003,0.6
2003,6,6/1/2003,0.64
2003,7,7/1/2003,0.69
2003,8,8/1/2003,0.87
2003,9,9/1/2003,0.79
2003,10,10/1/2003,0.84
2003,11,11/1/2003,0.92
2003,12,12/1/2003,0.83
2004,1,1/1/2004,0.85
2004,2,2/1/2004,0.77
2004,3,3/1/2004,0.71
2004,4,4/1/2004,0.8
2004,5,5/1/2004,0.87
2004,6,6/1/2004,0.93
2004,7,7/1/2004,1.05
2004,8,8/1/2004,1.34
2004,9,9/1/2004,1.44
2004,10,10/1/2004,1.33
2004,11,11/1/2004,1.33
2004,12,12/1/2004,1.32
2005,1,1/1/2005,1.55
2005,2,2/1/2005,1.8
2005,3,3/1/2005,1.94
2005,4,4/1/2005,2.08
2005,5,5/1/2005,2.04
2005,6,6/1/2005,1.96
2005,7,7/1/2005,1.9
2005,8,8/1/2005,1.95
2005,9,9/1/2005,2.25
2005,10,10/1/2005,2.36
2005,11,11/1/2005,2.88
2005,12,12/1/2005,2.85
2006,1,1/1/2006,2.8
2006,2,2/1/2006,2.79
2006,3,3/1/2006,2.92
2006,4,4/1/2006,3.04
2006,5,5/1/2006,2.86
2006,6,6/1/2006,2.88
2006,7,7/1/2006,2.93
2006,8,8/1/2006,3.21
2006,9,9/1/2006,3.18
2006,10,10/1/2006,3.15
2006,11,11/1/2006,2.93
2006,12,12/1/2006,3.04
2007,1,1/1/2007,2.98
2007,2,2/1/2007,2.89
2007,3,3/1/2007,2.53
2007,4,4/1/2007,2.31
2007,5,5/1/2007,2.08
2007,6,6/1/2007,2.25
2007,7,7/1/2007,2.39
2007,8,8/1/2007,2.32
2007,9,9/1/2007,2.15
2007,10,10/1/2007,2.17
2007,11,11/1/2007,2.16
2007,12,12/1/2007,2
2008,1,1/1/2008,1.49
2008,2,2/1/2008,1.34
2008,3,3/1/2008,0.96
2008,4,4/1/2008,1.07
2008,5,5/1/2008,1.03
2008,6,6/1/2008,0.93
2008,7,7/1/2008,0.68
2008,8,8/1/2008,1.09
2008,9,9/1/2008,1.7
2008,10,10/1/2008,1.19
2008,11,11/1/2008,0.73
2008,12,12/1/2008,0.74
2009,1,1/1/2009,0.48
2009,2,2/1/2009,0.43
2009,3,3/1/2009,0.44
2009,4,4/1/2009,0.31
2009,5,5/1/2009,0.33
2009,6,6/1/2009,0.35
2009,7,7/1/2009,0.35
2009,8,8/1/2009,0.37
2009,9,9/1/2009,0.39
2009,10,10/1/2009,0.56
2009,11,11/1/2009,0.51
