date,StraitTimes
1/31/2001,1668.49
3/16/2001,1481.48
3/19/2001,1438.79
3/20/2001,1446.2
3/21/2001,1443.11
3/22/2001,1407.35
3/23/2001,1432.7
3/26/2001,1428.03
3/27/2001,1391.29
3/28/2001,1373.92
3/29/2001,1353.02
3/30/2001,1391.25
4/2/2001,1369.76
4/3/2001,1365.99
4/4/2001,1349.42
4/5/2001,1393.57
4/6/2001,1388.93
4/9/2001,1322.07
4/10/2001,1327.48
4/11/2001,1333.83
4/12/2001,1305.09
4/16/2001,1311.5
4/17/2001,1290.65
4/18/2001,1321.99
4/19/2001,1355.71
4/20/2001,1362.24
4/23/2001,1388.38
4/24/2001,1386.28
4/25/2001,1371.88
4/26/2001,1365.67
4/27/2001,1380.61
4/30/2001,1406.25
5/2/2001,1415.25
5/3/2001,1413.01
5/4/2001,1394.88
5/8/2001,1382.89
5/9/2001,1366.25
5/10/2001,1371.09
5/11/2001,1384.8
5/14/2001,1366.39
5/15/2001,1372.52
5/16/2001,1351.02
5/17/2001,1371.38
5/18/2001,1358.8
5/21/2001,1361.24
5/22/2001,1370.42
5/23/2001,1371.9
5/24/2001,1379.19
5/25/2001,1370.61
5/28/2001,1362.15
5/29/2001,1368.22
5/30/2001,1354.44
5/31/2001,1351.02
6/1/2001,1347.15
6/4/2001,1360.75
6/5/2001,1371.77
6/6/2001,1373.52
6/7/2001,1377.25
6/8/2001,1399.31
6/11/2001,1380.98
6/12/2001,1374.73
6/13/2001,1386.12
6/14/2001,1379.96
6/15/2001,1391.2
6/18/2001,1393.42
6/19/2001,1384.96
6/20/2001,1370.86
6/21/2001,1368.6
6/22/2001,1391.34
6/25/2001,1373.82
6/26/2001,1375.87
6/27/2001,1366.34
6/28/2001,1372.84
6/29/2001,1389.11
7/2/2001,1369.85
7/3/2001,1368.6
7/4/2001,1361.91
7/5/2001,1356.78
7/6/2001,1335.66
7/9/2001,1332.86
7/10/2001,1354.35
7/11/2001,1340.9
7/12/2001,1347.95
7/13/2001,1330.54
7/16/2001,1329.43
7/17/2001,1315.31
7/18/2001,1304.85
7/19/2001,1301.4
7/20/2001,1312.1
7/23/2001,1303.64
7/24/2001,1301.51
7/25/2001,1301.71
7/26/2001,1306.7
7/27/2001,1307.53
7/30/2001,1324.87
7/31/2001,1338.02
8/1/2001,1354.31
8/2/2001,1341.98
8/3/2001,1326.9
8/6/2001,1337.16
8/7/2001,1336.72
8/8/2001,1325.31
8/10/2001,1325.99
8/13/2001,1314.81
8/14/2001,1332.12
8/15/2001,1331.25
8/16/2001,1326.82
8/17/2001,1328.29
8/20/2001,1318.75
8/21/2001,1323.72
8/22/2001,1325.63
8/23/2001,1329.67
8/24/2001,1317.46
8/27/2001,1334.11
8/28/2001,1332.67
8/29/2001,1328.96
8/30/2001,1316.4
8/31/2001,1325
9/3/2001,1322.27
9/4/2001,1328.94
9/5/2001,1329.86
9/6/2001,1313.5
9/7/2001,1289.62
9/10/2001,1273.93
9/11/2001,1288.5
9/12/2001,1216
9/13/2001,1205.79
9/14/2001,1171.08
9/17/2001,1114.86
9/18/2001,1105.98
9/19/2001,1119.68
9/20/2001,1092.96
9/21/2001,1032.52
9/24/2001,1079.35
9/25/2001,1075.04
9/26/2001,1070.44
9/27/2001,1095.31
9/28/2001,1107.03
10/1/2001,1118.92
10/2/2001,1130.36
10/3/2001,1118.08
10/4/2001,1155.47
10/5/2001,1162.3
