equity,deal price
200.71,0.25
1278.1,1.78
1046.8,1.3
238.48,1.01
807.28,1.08
1894.75,1.68
196.15,0.6
1344.21,1.02
243.72,0.85
328.28,0.75
809.81,1.39
37.81,0.03
60.74,0.2
327.76,0.82
2420.81,1.3
728.36,0.45
45.23,0.43
47.92,0.24
5277.17,4.6
191.32,0.32
260.49,0.33
77.77,0.24
284.58,0.55
391.03,1.16
1230.4,0.83
775.16,0.47
438.82,2.25
263.22,1.25
429.86,1.08
43.74,0.24
1646.56,4.05
7330.6,2.35
4323.61,2.23
274.26,0.33
3070.64,9.4
84.3,0.58
59.84,0.16
111.84,0.15
195.68,0.75
76.44,0.34
226.26,0.82
161.68,0.4
743.29,0.88
1236.86,2.55
990.83,4.5
1179.81,1.22
610.79,1.8
11121.79,4.72
1724.55,1.9
116.19,0.23
1685.27,6.6
10921.18,53
229.07,6.75
60.17,0.26
867.06,1.39
88.36,0.42
101.81,0.4
63.95,0.28
150.72,0.4
83.33,0.57
122.43,0.32
123.83,0.6
255.41,0.43
35.4,0.18
128.26,0.3
187.91,1.4
354,1.07
127.66,0.65
145.54,1.2
2038.13,1.6
90.65,0.55
39.12,0.35
277.34,0.7
78.77,0.27
1381.25,3.1
102.7,0.07
41.94,0.17
667.35,2.45
172.83,0.78
119.8,0.65
56.64,0.3
3309.76,3.95
250.09,0.47
79.19,2.5
221.22,2
69.41,0.28
260.57,0.29
1110.95,1.2
314.31,0.93
36.49,0.61
68,0.44
280.39,0.73
167.81,1.5
57.06,0.6
614.25,1.81
386.41,1.23
159.11,1.76
192.97,0.8
86.61,0.46
50,3.5
1495.01,19.73
114,0.5
47.57,0.17
447.24,7.2
1935.27,1.73
1546.62,6.7
384.51,0.23
1624.02,2.84
161.03,0.67
1172.29,1.2
184.8,0.8
3024.66,2.35
423.97,2.38
336.39,1.1
40.15,0.26
35.87,0.15
261.32,0.37
242.59,1.05
2290.92,1.75
28.13,0.13
305.55,0.44
131.79,1
126.22,0.42
716.43,29
80.71,0.76
57.51,0.5
124.23,0.08
72.58,0.36
4762.36,16
84.24,6.45
1138.32,2.04
307.38,1.3
832.9,1.8
530.72,1.95
382.91,1.75
418.06,0.39
119.89,0.47
887.75,1.09
1012.84,1.25
162.19,2.05
161.91,1.35
2361.16,2.8
936.35,2.26
41.35,0.28
21.06,0.2
65.81,1
79.84,0.62
107.2,2.45
418.7,2.05
658.1,4.76
874.8,1.1
64.62,1.75
363.15,1.3
363.52,3.23
110.04,0.8
517.31,5.6
175.05,4.6
241.22,2.7
847.49,2.07
22.99,5.25
288.5,0.6
304.18,4.48
853.57,2.07
193.79,0.3
578.73,1.55
243.82,1.46
3773.77,3.65
325.86,0.27
418.75,3.08
84.3,0.34
181.2,0.98
222.69,1.4
271.4,3.76
